Time (sec),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Forktip Pose X (m),Forktip Pose Y (m),Forktip Pose Z (m),Forktip Pose Roll (rad),Forktip Pose Pitch (rad),Forktip Pose Yaw (rad)
1637705108.5411725,-0.063871950322831147,0.006057426562111768,-0.03283104208357912,-6.8984064241060607e-05,-0.00011728092961617171,-1.128902220066258e-05,,,,,,
1637705108.5511725,-0.044179045190796316,-0.15024433649007346,-0.035046256503157736,-2.4668163320343342e-05,-0.00013370442431578111,-3.817941087524285e-05,,,,,,
1637705108.5540147,,,,,,,-0.2452302542970672,-0.017453825119179645,-0.19429149075014762,2.911741392388342,0.2845430283156491,-0.46513734171757165
1637705108.5611904,0.0029113452641248393,-0.073290455876375171,-0.5164194670322093,-3.4411580990970638e-05,-0.00013919932549091485,-2.0242664388291087e-06,,,,,,
1637705108.5639465,,,,,,,-0.24522304987319016,-0.017456691145830372,-0.1942959014314024,2.9117008746635205,0.2844516168852528,-0.4652093047516214
1637705108.571206,-0.027235153712152998,-0.075147771281126527,-0.017480228906945783,-8.8889091133501863e-05,-0.00010359361976337641,-6.586069333437e-05,,,,,,
1637705108.5739548,,,,,,,-0.24524692386932592,-0.01745670247726666,-0.1943097872874967,2.9117359624378953,0.2846017559739107,-0.46516209066736763
1637705108.5740247,,,,,,,-0.24523754188642827,-0.01746017394664942,-0.19432031594055232,2.9116966983652373,0.2844963513084882,-0.46523871333992217
1637705108.5813394,-0.010963031698836591,-0.074454057909571658,-0.22873517512099362,-2.4153132805572851e-05,-0.00020216140950035121,5.771686580269969e-06,,,,,,
1637705108.584015,,,,,,,-0.24524086777249635,-0.017467014625372118,-0.19429075629123693,2.911738949625108,0.28460424374499316,-0.46493606515656477
1637705108.591274,-0.02994593969129275,-0.096688163977115549,-0.18631248451955784,-0.0001100555617737304,-0.00011190017809037454,-4.3715667367067584e-05,,,,,,
1637705108.5939465,,,,,,,-0.24523827971212434,-0.01745844872993113,-0.1943240008632805,2.911809477769798,0.28456243548846794,-0.4649534576907344
1637705108.6012611,-0.010234158940583576,-0.17408447780921066,-0.14083386559232025,-7.3342013973282821e-05,-0.00015515263946137196,-2.812376132886596e-05,,,,,,
1637705108.6039276,,,,,,,-0.2452401482744292,-0.01744672954073695,-0.19431569337388543,2.911848124985149,0.28460695193635266,-0.464923631150729
1637705108.6111317,-0.0099234371926517247,-0.023676707611518733,-0.22840600671326605,4.6382912514672105e-05,-0.00015869766831068488,-6.684485224645043e-07,,,,,,
1637705108.614068,,,,,,,-0.24523969256571532,-0.017454736408221094,-0.19432940086979955,2.911855781167233,0.2845862672776161,-0.4648701421097208
1637705108.6212952,-0.025310927870253429,-0.096282411552226471,0.16004830018011518,-0.00011056942746551939,-9.4062412649356263e-05,-4.5636409415253376e-05,,,,,,
1637705108.623959,,,,,,,-0.24523270178923687,-0.017450715155396868,-0.1943100463630245,2.911901403194594,0.28459673821821996,-0.4649120643208352
1637705108.6240504,,,,,,,-0.24522200645983813,-0.017450562891837995,-0.1943152635894757,2.9119973484343618,0.28457426095967453,-0.46474493137316725
1637705108.6311648,0.024937073621296324,-0.1287437189790796,-0.21417169718987417,-6.4970638110140434e-05,-0.00014366577772191976,-3.219121507796324e-05,,,,,,
1637705108.6340604,,,,,,,-0.24522902801513835,-0.01744574207120103,-0.1943178067365735,2.91191866706112,0.2845547425730892,-0.4647973402397038
1637705108.6411808,0.0079526198843769061,-0.07726260240667801,-0.13385905392585684,-4.4105531399350039e-05,-0.00014636169404667404,-3.606054007922882e-06,,,,,,
1637705108.6439314,,,,,,,-0.24522757350284063,-0.017428160438282686,-0.19432276132399595,2.9120180323016953,0.2845870351216801,-0.4647593014426392
1637705108.6512172,-0.025519813162625537,-0.012320732493309181,0.09972596535301292,-5.7319108933358845e-05,-0.00010584947349526982,-2.9366594418867714e-05,,,,,,
1637705108.6539667,,,,,,,-0.24524345011089432,-0.01745902190464249,-0.19432589016991253,2.9119075697830175,0.2846365446075972,-0.4646930357733612
